gameid, time, roundNum, trialType, condition,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, basiclevelClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Basiclevel, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Basiclevel, alt2superdomain, alt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs, alt3Basiclevel, alt3superdomain, alt4Name, alt4TargetStatus, alt4SpLocs, alt4LisLocs, alt4Basiclevel, alt4superdomain
2370-c,1455300129845,1,colorSizeTrial,size22,small_white_shoe,target,4,3,NA,NA,big_white_shoe,distractor,2,2,NA,NA,big_white_shoe,distractor,3,4,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
2370-c,1455300140338,2,subSuperTrial,basic12,campShirt,distractor,2,3,shirt,clothing,dress,distractor,3,4,NA,clothing,hawaiiShirt,target,4,2,shirt,clothing,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
2370-c,1455300147787,3,subSuperTrial,basic23,bison,distractor,3,2,NA,animal,ambulance,distractor,2,4,NA,vehicle,clownFish,target,4,3,fish,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
2370-c,1455300151808,4,subSuperTrial,basic23,pottedPlant,distractor,4,3,NA,plant,tulip,target,2,4,flower,plant,hamster,distractor,3,2,NA,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
2370-c,1455300157299,5,subSuperTrial,basic23,cow,distractor,3,4,NA,animal,cookies,distractor,4,2,NA,snack,parrot,target,2,3,bird,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
2370-c,1455300162036,6,subSuperTrial,basic22,ambulance,distractor,4,3,NA,vehicle,sportsCar,target,3,4,car,vehicle,firetruck,distractor,2,2,NA,vehicle,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
2370-c,1455300166771,7,colorSizeTrial,size31,small_green_jacket,target,4,1,NA,NA,big_brown_jacket,distractor,3,4,NA,NA,big_brown_jacket,distractor,1,3,NA,NA,big_green_jacket,distractor,2,2,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
2370-c,1455300173287,8,colorSizeTrial,size42,small_green_guitar,target,4,1,NA,NA,big_blue_guitar,distractor,1,4,NA,NA,big_blue_guitar,distractor,3,3,NA,NA,big_green_guitar,distractor,5,5,NA,NA,big_green_guitar,distractor,2,2,NA,NA
2370-c,1455300179713,9,colorSizeTrial,size31,small_blue_cushion,target,4,3,NA,NA,big_orange_cushion,distractor,3,4,NA,NA,big_blue_cushion,distractor,1,1,NA,NA,big_orange_cushion,distractor,2,2,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
2370-c,1455300184109,10,subSuperTrial,basic22,husky,target,3,3,dog,animal,squirrel,distractor,4,4,NA,animal,pig,distractor,2,2,NA,animal,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
2370-c,1455300188080,11,colorSizeTrial,color32,big_purple_rug,distractor,1,2,NA,NA,small_blue_rug,target,3,4,NA,NA,small_purple_rug,distractor,4,1,NA,NA,small_purple_rug,distractor,2,3,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined
2370-c,1455300191458,12,colorSizeTrial,size44,big_red_toothbrush,target,1,3,NA,NA,small_red_toothbrush,distractor,2,2,NA,NA,small_red_toothbrush,distractor,5,1,NA,NA,small_red_toothbrush,distractor,4,5,NA,NA,small_red_toothbrush,distractor,3,4,NA,NA
