Item,Color,Diff,TypicalityModified,TypicalityUnmodified
golfball,pink,0.408777777777778,0.799444444444444,0.390666666666667
weddingcake,pink,0.317333333333333,0.760666666666667,0.443333333333333
chair,green,0.294166666666667,0.703333333333333,0.409166666666667
stapler,red,0.266055555555556,0.8605,0.594444444444444
rug,purple,0.240079365079365,0.817222222222222,0.577142857142857
bucket,pink,0.232857142857143,0.735357142857143,0.5025
billiardball,purple,0.219477124183007,0.860588235294118,0.641111111111111
hairdryer,purple,0.212573529411765,0.688823529411765,0.47625
framee,green,0.208253968253968,0.663809523809524,0.455555555555556
framee,pink,0.199772727272727,0.647272727272727,0.4475
coathanger,orange,0.179473684210526,0.479473684210526,0.3
phone,white,0.177361111111111,0.516111111111111,0.33875
bucket,red,0.171648351648352,0.913076923076923,0.741428571428571
coathanger,purple,0.167166666666667,0.574166666666667,0.407
napkin,yellow,0.164666666666667,0.786666666666667,0.622
shoe,yellow,0.163333333333333,0.65,0.486666666666667
phone,pink,0.163015873015873,0.504444444444444,0.341428571428571
candle,blue,0.152555555555556,0.760555555555556,0.608
book,black,0.1438127090301,0.85304347826087,0.709230769230769
rock,purple,0.142592592592593,0.412592592592593,0.27
rock,green,0.140454545454545,0.300454545454545,0.16
guitar,green,0.138166666666667,0.7665,0.628333333333333
guitar,blue,0.127647058823529,0.75,0.622352941176471
turtle,black,0.125117647058823,0.664117647058823,0.539
butterfly,blue,0.12452380952381,0.752857142857143,0.628333333333333
cushion,blue,0.123269230769231,0.8225,0.699230769230769
cap,blue,0.117333333333333,0.664,0.546666666666667
yarn,purple,0.113,0.86,0.747
bracelet,purple,0.102333333333333,0.7465,0.644166666666667
jacket,brown,0.0961428571428572,0.667142857142857,0.571
binder,green,0.0936538461538461,0.676153846153846,0.5825
cushion,orange,0.0885227272727274,0.767272727272727,0.67875
toothbrush,red,0.0818045112781955,0.698947368421053,0.617142857142857
balloon,yellow,0.0793939393939394,0.892727272727273,0.813333333333333
bike,purple,0.0766666666666667,0.701666666666667,0.625
stapler,purple,0.0705050505050505,0.772727272727273,0.702222222222222
yarn,red,0.056,0.906,0.85
comb,black,0.0553333333333333,0.968666666666667,0.913333333333333
bike,red,0.0547368421052632,0.814736842105263,0.76
rug,blue,0.0545454545454545,0.72,0.665454545454546
bracelet,green,0.0489473684210526,0.718947368421053,0.67
toothbrush,blue,0.0474603174603175,0.848888888888889,0.801428571428571
avocado,green,0.0472077922077923,0.903571428571429,0.856363636363636
tack,red,0.045,0.88,0.835
billiardball,orange,0.0419111111111111,0.8408,0.798888888888889
pepper,red,0.0408928571428571,0.88875,0.847857142857143
flower,purple,0.038233082706767,0.788947368421053,0.750714285714286
weddingcake,white,0.0363545150501672,0.781739130434783,0.745384615384615
belt,brown,0.0341071428571429,0.81625,0.782142857142857
binder,blue,0.0313071895424837,0.673529411764706,0.642222222222222
jacket,green,0.0231818181818182,0.663181818181818,0.64
cap,orange,0.0219106699751861,0.658064516129032,0.636153846153846
turtle,brown,0.0190909090909092,0.826363636363636,0.807272727272727
shoe,white,0.0176973684210526,0.688947368421053,0.67125
book,blue,0.0171428571428571,0.775,0.757857142857143
chair,red,0.0147777777777778,0.692777777777778,0.678
flower,red,0.00452380952380949,0.832857142857143,0.828333333333333
balloon,pink,0.00146953405017913,0.85258064516129,0.851111111111111
teacup,pink,-0.00888888888888884,0.581111111111111,0.59
ornament,purple,-0.0129166666666667,0.797083333333333,0.81
napkin,orange,-0.0158653846153846,0.705384615384615,0.72125
butterfly,purple,-0.0264444444444444,0.690555555555556,0.717
ornament,blue,-0.0275714285714286,0.881428571428571,0.909
candle,red,-0.0301333333333332,0.8232,0.853333333333333
comb,blue,-0.0335272727272727,0.7292,0.762727272727273
teacup,white,-0.0410476190476191,0.870952380952381,0.912
belt,black,-0.0502870813397129,0.877894736842105,0.928181818181818
tack,blue,-0.0817142857142856,0.794,0.875714285714286
pepper,green,-0.0874999999999999,0.8,0.8875
hairdryer,pink,-0.0923856209150327,0.497058823529412,0.589444444444444
golfball,blue,-0.112764705882353,0.828235294117647,0.941
avocado,black,-0.139601449275362,0.769565217391304,0.909166666666667
