Item	Color	Modification	Typicality	CI.low	CI.high
avocado	black	modified	0.769565217391304	0.661717391304348	0.859141304347826
avocado	black	unmodified	0.909166666666667	0.776666666666667	0.9825
avocado	green	modified	0.903571428571429	0.833571428571429	0.958589285714286
avocado	green	unmodified	0.856363636363636	0.765431818181818	0.934568181818182
balloon	pink	modified	0.85258064516129	0.773862903225807	0.923870967741935
balloon	pink	unmodified	0.851111111111111	0.779972222222222	0.916666666666667
balloon	yellow	modified	0.892727272727273	0.825431818181818	0.948204545454545
balloon	yellow	unmodified	0.813333333333333	0.655527777777778	0.946666666666667
belt	black	modified	0.877894736842105	0.82103947368421	0.927368421052632
belt	black	unmodified	0.928181818181818	0.866363636363636	0.976386363636364
belt	brown	modified	0.81625	0.759375	0.875625
belt	brown	unmodified	0.782142857142857	0.682821428571428	0.875732142857143
bike	purple	modified	0.701666666666667	0.563861111111111	0.828958333333333
bike	purple	unmodified	0.625	0.477821428571429	0.784285714285714
bike	red	modified	0.814736842105263	0.7605	0.872644736842105
bike	red	unmodified	0.76	0.602222222222222	0.918972222222222
billiardball	orange	modified	0.8408	0.7607	0.9076
billiardball	orange	unmodified	0.798888888888889	0.682166666666667	0.901111111111111
billiardball	purple	modified	0.860588235294118	0.764705882352941	0.944117647058824
billiardball	purple	unmodified	0.641111111111111	0.458694444444445	0.790055555555556
binder	blue	modified	0.673529411764706	0.574691176470588	0.777073529411765
binder	blue	unmodified	0.642222222222222	0.499944444444444	0.787777777777778
binder	green	modified	0.676153846153846	0.578067307692308	0.762701923076923
binder	green	unmodified	0.5825	0.4461875	0.73753125
book	black	modified	0.85304347826087	0.777815217391304	0.916119565217391
book	black	unmodified	0.709230769230769	0.567634615384615	0.826211538461538
book	blue	modified	0.775	0.696	0.856025
book	blue	unmodified	0.757857142857143	0.634267857142857	0.870767857142857
bracelet	green	modified	0.718947368421053	0.628421052631579	0.803697368421053
bracelet	green	unmodified	0.67	0.549944444444444	0.787805555555556
bracelet	purple	modified	0.7465	0.667975	0.8185
bracelet	purple	unmodified	0.644166666666667	0.491645833333333	0.790895833333333
bucket	pink	modified	0.735357142857143	0.653883928571429	0.8118125
bucket	pink	unmodified	0.5025	0.362479166666667	0.650854166666667
bucket	red	modified	0.913076923076923	0.818461538461538	0.986173076923077
bucket	red	unmodified	0.741428571428571	0.574178571428571	0.895714285714286
butterfly	blue	modified	0.752857142857143	0.615678571428571	0.861428571428571
butterfly	blue	unmodified	0.628333333333333	0.501666666666667	0.7445
butterfly	purple	modified	0.690555555555556	0.563305555555556	0.811125
butterfly	purple	unmodified	0.717	0.546	0.893025
candle	blue	modified	0.760555555555556	0.654986111111111	0.863930555555556
candle	blue	unmodified	0.608	0.406	0.774
candle	red	modified	0.8232	0.762	0.88161
candle	red	unmodified	0.853333333333333	0.78	0.9191875
cap	blue	modified	0.664	0.52095	0.795025
cap	blue	unmodified	0.546666666666667	0.339916666666667	0.766666666666667
cap	orange	modified	0.658064516129032	0.559322580645161	0.748411290322581
cap	orange	unmodified	0.636153846153846	0.506153846153846	0.765384615384615
chair	green	modified	0.703333333333333	0.586666666666667	0.814683333333333
chair	green	unmodified	0.409166666666667	0.2958125	0.531666666666667
chair	red	modified	0.692777777777778	0.587180555555556	0.789527777777778
chair	red	unmodified	0.678	0.573316666666667	0.7834
coathanger	orange	modified	0.479473684210526	0.358907894736842	0.606342105263158
coathanger	orange	unmodified	0.3	0.1685	0.44
coathanger	purple	modified	0.574166666666667	0.442916666666667	0.689604166666667
coathanger	purple	unmodified	0.407	0.216	0.600025
comb	black	modified	0.968666666666667	0.933333333333333	0.992
comb	black	unmodified	0.913333333333333	0.865527777777778	0.961166666666667
comb	blue	modified	0.7292	0.6292	0.81601
comb	blue	unmodified	0.762727272727273	0.629022727272727	0.883659090909091
cushion	blue	modified	0.8225	0.748205357142857	0.885723214285714
cushion	blue	unmodified	0.699230769230769	0.561480769230769	0.833884615384615
cushion	orange	modified	0.767272727272727	0.713636363636364	0.808181818181818
cushion	orange	unmodified	0.67875	0.54496875	0.80753125
flower	purple	modified	0.788947368421053	0.703144736842105	0.866328947368421
flower	purple	unmodified	0.750714285714286	0.654964285714286	0.845732142857143
flower	red	modified	0.832857142857143	0.750916666666667	0.907202380952381
flower	red	unmodified	0.828333333333333	0.691583333333333	0.953333333333333
framee	green	modified	0.663809523809524	0.563309523809524	0.758583333333333
framee	green	unmodified	0.455555555555556	0.284416666666667	0.647861111111111
framee	pink	modified	0.647272727272727	0.538125	0.754147727272727
framee	pink	unmodified	0.4475	0.3	0.61253125
golfball	blue	modified	0.828235294117647	0.724102941176471	0.919426470588235
golfball	blue	unmodified	0.941	0.886	0.983
golfball	pink	modified	0.799444444444444	0.71775	0.874444444444444
golfball	pink	unmodified	0.390666666666667	0.302666666666667	0.490716666666667
guitar	blue	modified	0.75	0.651176470588235	0.842367647058824
guitar	blue	unmodified	0.622352941176471	0.503514705882353	0.740588235294118
guitar	green	modified	0.7665	0.659	0.8685375
guitar	green	unmodified	0.628333333333333	0.405	0.810041666666667
hairdryer	pink	modified	0.497058823529412	0.3705	0.62125
hairdryer	pink	unmodified	0.589444444444444	0.456097222222222	0.738972222222222
hairdryer	purple	modified	0.688823529411765	0.567529411764706	0.79775
hairdryer	purple	unmodified	0.47625	0.25496875	0.715
jacket	brown	modified	0.667142857142857	0.581392857142857	0.763345238095238
jacket	brown	unmodified	0.571	0.428975	0.713
jacket	green	modified	0.663181818181818	0.588181818181818	0.739545454545455
jacket	green	unmodified	0.64	0.389678571428571	0.868607142857143
napkin	orange	modified	0.705384615384615	0.562307692307692	0.840038461538461
napkin	orange	unmodified	0.72125	0.636859375	0.806265625
napkin	yellow	modified	0.786666666666667	0.704761904761905	0.85477380952381
napkin	yellow	unmodified	0.622	0.44495	0.77505
ornament	blue	modified	0.881428571428571	0.808553571428572	0.944303571428571
ornament	blue	unmodified	0.909	0.850975	0.961025
ornament	purple	modified	0.797083333333333	0.699583333333333	0.8766875
ornament	purple	unmodified	0.81	0.685	0.923354166666667
pepper	green	modified	0.8	0.676097222222222	0.922777777777778
pepper	green	unmodified	0.8875	0.8108125	0.936666666666667
pepper	red	modified	0.88875	0.82121875	0.951265625
pepper	red	unmodified	0.847857142857143	0.762125	0.922857142857143
phone	pink	modified	0.504444444444444	0.376231481481482	0.617777777777778
phone	pink	unmodified	0.341428571428571	0.188571428571429	0.501464285714286
phone	white	modified	0.516111111111111	0.404986111111111	0.616791666666667
phone	white	unmodified	0.33875	0.18996875	0.5175625
rock	green	modified	0.300454545454545	0.202625	0.414545454545455
rock	green	unmodified	0.16	0.035	0.285
rock	purple	modified	0.412592592592593	0.300342592592593	0.524814814814815
rock	purple	unmodified	0.27	0.117142857142857	0.437178571428571
rug	blue	modified	0.72	0.642083333333333	0.79046875
rug	blue	unmodified	0.665454545454546	0.553636363636364	0.78
rug	purple	modified	0.817222222222222	0.723888888888889	0.897777777777778
rug	purple	unmodified	0.577142857142857	0.339964285714286	0.791464285714286
shoe	white	modified	0.688947368421053	0.589986842105263	0.782644736842105
shoe	white	unmodified	0.67125	0.5525	0.8038125
shoe	yellow	modified	0.65	0.547119047619048	0.75002380952381
shoe	yellow	unmodified	0.486666666666667	0.340833333333333	0.62425
stapler	purple	modified	0.772727272727273	0.678136363636364	0.856875
stapler	purple	unmodified	0.702222222222222	0.546611111111111	0.855555555555556
stapler	red	modified	0.8605	0.773	0.933525
stapler	red	unmodified	0.594444444444444	0.461055555555556	0.72
tack	blue	modified	0.794	0.72495	0.8585125
tack	blue	unmodified	0.875714285714286	0.789964285714286	0.95575
tack	red	modified	0.88	0.809047619047619	0.942869047619048
tack	red	unmodified	0.835	0.764145833333333	0.9016875
teacup	pink	modified	0.581111111111111	0.432194444444444	0.728916666666667
teacup	pink	unmodified	0.59	0.444545454545455	0.715454545454545
teacup	white	modified	0.870952380952381	0.795702380952381	0.927154761904762
teacup	white	unmodified	0.912	0.817	0.979
toothbrush	blue	modified	0.848888888888889	0.775537037037037	0.91112037037037
toothbrush	blue	unmodified	0.801428571428571	0.631428571428571	0.931428571428571
toothbrush	red	modified	0.698947368421053	0.594723684210526	0.80053947368421
toothbrush	red	unmodified	0.617142857142857	0.431428571428571	0.82
turtle	black	modified	0.664117647058823	0.502279411764706	0.798838235294118
turtle	black	unmodified	0.539	0.34795	0.732
turtle	brown	modified	0.826363636363636	0.764034090909091	0.886375
turtle	brown	unmodified	0.807272727272727	0.708159090909091	0.897295454545455
weddingcake	pink	modified	0.760666666666667	0.665333333333333	0.852733333333333
weddingcake	pink	unmodified	0.443333333333333	0.279944444444444	0.583333333333333
weddingcake	white	modified	0.781739130434783	0.680869565217391	0.865228260869565
weddingcake	white	unmodified	0.745384615384615	0.606134615384615	0.870788461538461
yarn	purple	modified	0.86	0.794988636363636	0.925454545454545
yarn	purple	unmodified	0.747	0.645	0.858025
yarn	red	modified	0.906	0.8564875	0.9495
yarn	red	unmodified	0.85	0.74996875	0.94375
