gameid, time, roundNum, trialType, context,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs
4724-8,1479924229038,1,apple,overinformative,apple_blue,target,2,3,carrot_brown,distractor,4,2,tomato_red,distractor,3,4
4724-8,1479924237886,2,avocado,informative-cc,avocado_black,target,4,3,distractor_avocado_black,distractor,2,4,avocado_green,distractor,3,2
4724-8,1479924244584,3,carrot,overinformative,carrot_pink,target,3,4,tomato_red,distractor,2,2,avocado_black,distractor,4,3
4724-8,1479924257399,4,tomato,informative,tomato_pink,target,3,4,carrot_brown,distractor,4,3,tomato_green,distractor,2,2
4724-8,1479924266003,5,pear,overinformative-cc,pear_orange,target,3,3,distractor_pear_orange,distractor,4,4,tomato_pink,distractor,2,2
4724-8,1479924272691,6,banana,informative,banana_yellow,target,4,3,banana_blue,distractor,3,4,pear_orange,distractor,2,2
4724-8,1479924280445,7,tomato,informative,tomato_green,target,3,3,pepper_red,distractor,2,4,tomato_red,distractor,4,2
4724-8,1479924287333,8,pepper,informative-cc,pepper_black,target,2,4,distractor_pepper_black,distractor,4,2,pepper_red,distractor,3,3
4724-8,1479924292709,9,banana,informative,banana_blue,target,4,4,tomato_red,distractor,3,2,banana_yellow,distractor,2,3
4724-8,1479924299835,10,avocado,informative-cc,avocado_green,target,3,4,distractor_avocado_green,distractor,2,3,avocado_red,distractor,4,2
4724-8,1479924306327,11,tomato,overinformative,tomato_pink,target,4,4,pear_orange,distractor,3,2,pear_yellow,distractor,2,3
4724-8,1479924312701,12,apple,overinformative-cc,apple_red,target,2,4,distractor_apple_red,distractor,3,2,carrot_pink,distractor,4,3
4724-8,1479924318607,13,banana,overinformative-cc,banana_yellow,target,2,2,distractor_banana_yellow,distractor,3,4,avocado_red,distractor,4,3
4724-8,1479924326910,14,banana,informative,banana_brown,target,3,2,carrot_orange,distractor,4,3,banana_blue,distractor,2,4
4724-8,1479924333798,15,apple,overinformative,apple_green,target,4,3,avocado_black,distractor,2,4,banana_blue,distractor,3,2
4724-8,1479924339839,16,carrot,informative,carrot_pink,target,3,4,pepper_orange,distractor,4,2,carrot_orange,distractor,2,3
4724-8,1479924348786,17,avocado,overinformative-cc,avocado_green,target,4,2,distractor_avocado_green,distractor,3,3,carrot_orange,distractor,2,4
4724-8,1479924355197,18,pepper,overinformative,pepper_red,target,4,2,pear_green,distractor,3,3,carrot_brown,distractor,2,4
4724-8,1479924361975,19,avocado,overinformative-cc,avocado_red,target,3,3,carrot_orange,distractor,4,4,distractor_avocado_red,distractor,2,2
4724-8,1479924367815,20,pear,overinformative,pear_yellow,target,3,2,pepper_red,distractor,2,3,apple_green,distractor,4,4
4724-8,1479924374612,21,pear,informative,pear_yellow,target,2,3,pear_green,distractor,3,2,tomato_pink,distractor,4,4
4724-8,1479924381692,22,pepper,informative,pepper_black,target,2,2,apple_blue,distractor,3,3,pepper_red,distractor,4,4
4724-8,1479924389049,23,pepper,overinformative,pepper_orange,target,3,3,apple_blue,distractor,2,4,tomato_green,distractor,4,2
4724-8,1479924394606,24,tomato,informative-cc,tomato_red,target,4,2,distractor_tomato_red,distractor,2,4,tomato_green,distractor,3,3
4724-8,1479924400768,25,carrot,overinformative-cc,carrot_brown,target,2,4,distractor_carrot_brown,distractor,4,3,pear_orange,distractor,3,2
4724-8,1479924407581,26,tomato,overinformative,tomato_green,target,3,2,banana_blue,distractor,4,4,apple_red,distractor,2,3
4724-8,1479924419051,27,pear,informative-cc,pear_orange,target,2,2,distractor_pear_orange,distractor,3,3,pear_green,distractor,4,4
4724-8,1479924425570,28,carrot,informative-cc,carrot_orange,target,2,3,carrot_pink,distractor,3,2,distractor_carrot_orange,distractor,4,4
4724-8,1479924444583,29,apple,informative-cc,apple_green,target,3,2,apple_red,distractor,4,3,distractor_apple_green,distractor,2,4
4724-8,1479924455309,30,avocado,overinformative-cc,avocado_black,target,4,4,distractor_avocado_black,distractor,2,3,carrot_brown,distractor,3,2
4724-8,1479924465394,31,banana,informative-cc,banana_blue,target,4,4,banana_yellow,distractor,3,3,distractor_banana_blue,distractor,2,2
4724-8,1479924475191,32,tomato,informative,tomato_red,target,3,4,pear_orange,distractor,2,2,tomato_pink,distractor,4,3
4724-8,1479924481730,33,pear,overinformative-cc,pear_green,target,4,4,banana_yellow,distractor,2,2,distractor_pear_green,distractor,3,3
4724-8,1479924487678,34,pear,informative,pear_green,target,3,4,pear_yellow,distractor,2,2,apple_blue,distractor,4,3
4724-8,1479924493282,35,carrot,informative,carrot_brown,target,3,2,avocado_black,distractor,4,4,carrot_pink,distractor,2,3
4724-8,1479924498974,36,pepper,informative-cc,pepper_red,target,4,3,distractor_pepper_red,distractor,2,2,pepper_orange,distractor,3,4
4724-8,1479924506360,37,apple,informative-cc,apple_blue,target,4,2,distractor_apple_blue,distractor,2,4,apple_green,distractor,3,3
4724-8,1479924514043,38,apple,overinformative,apple_red,target,4,3,avocado_green,distractor,2,4,pear_orange,distractor,3,2
4724-8,1479924519611,39,banana,informative-cc,banana_brown,target,3,4,distractor_banana_brown,distractor,2,2,banana_yellow,distractor,4,3
4724-8,1479924525712,40,carrot,overinformative,carrot_orange,target,3,4,avocado_green,distractor,2,2,avocado_black,distractor,4,3
4724-8,1479924532462,41,pepper,overinformative-cc,pepper_orange,target,4,2,tomato_red,distractor,3,3,distractor_pepper_orange,distractor,2,4
4724-8,1479924552222,42,avocado,informative-cc,avocado_red,target,3,3,distractor_avocado_red,distractor,2,4,avocado_black,distractor,4,2
